player_id,player_name,position,average_auction_value,average_draft_position,percent_owned,injured
4035912,Kwamie Lassiter II,3,0.0,169.9958784676354,0.008225999276112063,false
4240861,Dalton Keene,4,0.00031152647975077883,169.995920631985,0.006580919720091547,false
3915821,Tony Brown,3,0.0003116235587410408,169.99598938958403,0.004387215653585452,false
4369466,Ryan Miller,3,0.0,169.9959947794751,0.012064490183892078,false
3122899,Richie James,3,0.0,169.99599995772743,0.005118418262516361,false
4569156,Michael Wiley,2,0.0003116235587410408,169.99604227212683,0.008591363668768198,false
4362489,John Stephens Jr.,4,0.00031152647975077883,169.99608448218467,0.014258581198049866,false
3914240,Tyler Davis,4,0.0,169.99615311449767,0.0051184463321761985,false
2514206,Blake Bell,4,0.0,169.99615831748045,0.0074951418684109025,false
3918003,Brycen Hopkins,4,0.0,169.996200631995,0.0038389610674505457,false
3052083,Devon Allen,3,0.0,169.99622717281028,0.006215222175912724,false
4036129,Dominique Dafney,4,0.0,169.996258857472,0.007494895245128775,false
4241941,Anthony McFarland Jr.,2,0.0,169.99636452025405,0.0060324656332260895,false
4047836,Frank Darby,3,0.0003116235587410408,169.99638044914136,0.005301199533494442,false
3144991,Parker Hesse,4,0.0,169.99641200156412,0.005849834742168533,false
4362227,Bryce Ford-Wheaton,3,0.0003116235587410408,169.99642277797446,0.008774174679194238,true
4916349,Nikola Kalinic,4,0.0,169.996459728086,0.0065808355101884125,false
4360231,Lucas Krull,4,0.0,169.99647018415283,0.027786105484830976,false
3128317,Juwann Winfree,3,0.0003116235587410408,169.99650196302227,0.004935518366526217,false
14167,Taiwan Jones,2,0.0,169.99650711787024,0.006215324430795104,false
4034952,La'Mical Perine,2,0.0,169.99653361233527,0.006215278983765326,false
2577667,Damiere Byrd,3,0.0,169.99654418059035,0.004387231693361753,false
2576854,Stephen Anderson,4,0.0,169.99655463961108,0.004387400118094187,false
4036275,Sean McKeon,4,0.00031152647975077883,169.99656001479565,0.008774527546532417,false
3940587,Jesper Horsted,4,0.0,169.99658111528564,0.0040217613852408666,false
4046676,Tony Jones Jr.,2,0.023995014023060143,169.9965811694831,0.006946450181156109,false
4249624,Nick Muse,4,0.0,169.9966657331424,0.008774511506492224,false
4570674,Kevin Harris,2,0.0,169.9966869045543,0.006580727243479596,false
4039253,Trevon Wesco,4,0.0,169.99670266956946,0.004021746681144954,false
3046704,Geoff Swaim,4,0.0,169.99672375436612,0.004021717273275689,false
4428119,Lew Nichols,2,0.0003116235587410408,169.99674504623513,0.011516083215582906,false
4685035,Zach Evans,2,0.0,169.99680845442538,0.013344276859013146,false
3914328,Andy Isabella,3,0.0,169.9968506932702,0.009139915656858318,false
15072,Marvin Jones Jr.,3,0.0,169.99690878539045,0.0065808475400426295,false
3914151,Josiah Deguara,4,0.0,169.9969351898333,0.00712922543707636,false
4426891,Isaiah Spiller,2,0.0,169.9969510906324,0.009322748053647845,false
3128451,Tre'Quan Smith,3,0.0,169.9971413172134,0.005118408906031497,false
4879650,Grant DuBose,3,0.001869741352446245,169.9971519907004,0.009322543555471876,false
4360763,Brycen Tremayne,3,0.0006232471174820816,169.99717309633135,0.008591379373377693,false
4431509,Kaden Prather,3,0.0,169.99726820710902,0.011698920957337326,true
4259979,Lynn Bowden Jr.,3,0.0,169.9972998678996,0.004204391944385035,false
3871102,David Sills V,3,0.0,169.99731045014292,0.009870964557753369,false
4428116,Isaiah Neyor,3,0.0006232471174820816,169.99739504900796,0.01590313346567665,false
17258,Willie Snead IV,3,0.0,169.99740020925145,0.0045700330139184925,false
4035776,Kendric Pryor,3,0.0,169.99743198186536,0.012612945268957348,false
4362603,Brenden Bates,4,0.0,169.99745303706834,0.011699412835718308,false
3699902,Stanley Morgan Jr.,3,0.0,169.99753233851877,0.003655959579710887,false
4242270,Kyric McGowan,3,0.0,169.99759048877146,0.004569999597840036,false
5097554,Kameron Johnson,3,0.0,169.99759586171186,0.006032200985625082,false
4360306,Justyn Ross,3,0.0003116235587410408,169.99763276089828,0.011150635951843877,false
3886809,Andre Baccellia,3,0.0,169.99768032929813,0.007860226886363054,false
4050373,Quez Watkins,3,0.0,169.99768562551517,0.017000025591436374,false
4262900,Daylen Baldwin,3,0.0,169.9977278731836,0.0049355995656672385,false
3126115,Cody Thompson,3,0.0,169.9977806898884,0.005484009542176603,false
2977800,Alex Erickson,3,0.0,169.99779651881678,0.004204415001352725,false
4062711,Ethan Fernea,3,0.0,169.9977965653897,0.004387199613926434,false
4245144,Tay Martin,3,0.0,169.99789171109572,0.004387023185417535,false
4245174,Easop Winston Jr.,3,0.0006232471174820816,169.997928665786,0.005118324699207025,false
4258190,Ben Mason,2,0.0003116235587410408,169.9979973156632,0.007129290599024933,false
4243830,Jaelon Darden,3,0.0003116235587410408,169.99801850452573,0.0042043381457771995,false
4361100,Jack Westover,4,0.0,169.9980501466353,0.005666903092301056,false
2576716,Jamison Crowder,3,0.0,169.9980501775448,0.005666747707252158,false
4875912,Tejhaun Palmer,3,0.0,169.9980872570103,0.00566661304710235,false
4369886,Chris Blair,3,0.0003116235587410408,169.99812420410774,0.012612876101341717,false
4429006,Rakim Jarrett,3,0.0,169.99821933370322,0.016451517378286193,false
4259976,Josh Ali,3,0.0,169.9982245706737,0.005301199533494442,false
4036211,DJ Turner,3,0.0,169.99825627476883,0.005301131700219175,false
4241224,Abram Smith,2,0.0,169.9982879426778,0.005666872014609562,false
